ticker,currency,exchange,instrument_type,first_date,last_date,row_count,injection_date,source
AAPL,USD,NasdaqGS,EQUITY,1980-12-12,2026-08-11,11507,2026-07-25,yahoo-finance-chart-api
AGG,USD,NYSEArca,ETF,2003-09-29,2026-08-11,5753,2026-07-25,yahoo-finance-chart-api
AVUV,USD,NYSEArca,ETF,2019-09-26,2026-08-11,1727,2026-07-25,yahoo-finance-chart-api
BIL,USD,NYSEArca,ETF,2007-05-30,2026-08-11,4831,2026-07-25,yahoo-finance-chart-api
BIV,USD,NYSEArca,ETF,2007-04-10,2026-08-11,4866,2026-07-25,yahoo-finance-chart-api
BND,USD,NasdaqGM,ETF,2007-04-10,2026-08-11,4866,2026-07-25,yahoo-finance-chart-api
BNDX,USD,NasdaqGM,ETF,2013-06-04,2026-08-11,3317,2026-07-25,yahoo-finance-chart-api
BSV,USD,NYSEArca,ETF,2007-04-10,2026-08-11,4866,2026-07-25,yahoo-finance-chart-api
BTC=F,USD,CME,FUTURE,2017-12-18,2026-08-11,2175,2026-07-25,yahoo-finance-chart-api
CGDV,USD,NYSEArca,ETF,2022-02-24,2026-08-11,1119,2026-07-25,yahoo-finance-chart-api
CL=F,USD,NY Mercantile,FUTURE,2000-08-23,2026-08-11,6519,2026-07-25,yahoo-finance-chart-api
CSH.PA,EUR,Paris,ETF,2008-01-02,2026-08-11,4757,2026-07-25,yahoo-finance-chart-api
CSNDX.MI,EUR,Milan,ETF,2010-01-26,2026-08-11,4195,2026-07-25,yahoo-finance-chart-api
CSRSX,USD,Nasdaq,MUTUALFUND,1991-07-01,2026-08-10,8840,2026-07-25,yahoo-finance-chart-api
CSSPX.MI,EUR,Milan,ETF,2010-05-19,2026-08-11,4122,2026-07-25,yahoo-finance-chart-api
CSSX5E.MI,EUR,Milan,ETF,2010-03-09,2026-08-11,4171,2026-07-25,yahoo-finance-chart-api
CTA,USD,NYSEArca,ETF,2022-03-08,2026-08-11,1111,2026-07-25,yahoo-finance-chart-api
DBC,USD,NYSEArca,ETF,2006-02-06,2026-08-11,5160,2026-07-25,yahoo-finance-chart-api
DBMF,USD,NYSEArca,ETF,2019-05-08,2026-08-11,1825,2026-07-25,yahoo-finance-chart-api
DIA,USD,NYSEArca,ETF,1998-01-20,2026-08-11,7184,2026-07-25,yahoo-finance-chart-api
EFA,USD,NYSEArca,ETF,2001-08-27,2026-08-11,6275,2026-07-25,yahoo-finance-chart-api
EIMI.MI,EUR,Milan,ETF,2014-07-24,2026-08-11,3019,2026-07-25,yahoo-finance-chart-api
EMB,USD,NasdaqGM,ETF,2007-12-19,2026-08-11,4689,2026-07-25,yahoo-finance-chart-api
EMLC,USD,NYSEArca,ETF,2010-07-23,2026-08-11,4037,2026-07-25,yahoo-finance-chart-api
EMUL.MI,EUR,Milan,ETF,2014-07-25,2026-08-11,2853,2026-07-25,yahoo-finance-chart-api
ETH,USD,NYSEArca,ETF,2024-07-23,2026-08-11,515,2026-07-25,yahoo-finance-chart-api
EWL,USD,NYSEArca,ETF,1996-03-18,2026-08-11,7649,2026-07-25,yahoo-finance-chart-api
EXS1.MI,EUR,Milan,ETF,2008-02-26,2026-08-11,4678,2026-07-25,yahoo-finance-chart-api
EZU,USD,Cboe US,ETF,2000-07-31,2026-08-11,6546,2026-07-25,yahoo-finance-chart-api
FTGC,USD,NasdaqGM,ETF,2013-10-23,2026-08-11,3218,2026-07-25,yahoo-finance-chart-api
FTLS,USD,NYSEArca,ETF,2014-09-09,2026-08-11,2998,2026-07-25,yahoo-finance-chart-api
GC=F,USD,COMEX,FUTURE,2000-08-30,2026-08-11,6510,2026-07-25,yahoo-finance-chart-api
GLD,USD,NYSEArca,ETF,2004-11-18,2026-08-11,5465,2026-07-25,yahoo-finance-chart-api
GOVT,USD,Cboe US,ETF,2012-02-24,2026-08-11,3636,2026-07-25,yahoo-finance-chart-api
GSG,USD,NYSEArca,ETF,2006-07-21,2026-08-11,5045,2026-07-25,yahoo-finance-chart-api
HGER,USD,NYSE,ETF,2022-02-10,2026-08-11,1128,2026-07-25,yahoo-finance-chart-api
HYG,USD,NYSEArca,ETF,2007-04-11,2026-08-11,4865,2026-07-25,yahoo-finance-chart-api
IBIT,USD,NasdaqGM,ETF,2024-01-11,2026-08-11,647,2026-07-25,yahoo-finance-chart-api
ICVT,USD,Cboe US,ETF,2015-06-04,2026-08-11,2813,2026-07-25,yahoo-finance-chart-api
IEF,USD,NasdaqGM,ETF,2002-07-30,2026-08-11,6047,2026-07-25,yahoo-finance-chart-api
IEFA,USD,Cboe US,ETF,2012-10-24,2026-08-11,3467,2026-07-25,yahoo-finance-chart-api
IEMG,USD,NYSEArca,ETF,2012-10-24,2026-08-11,3467,2026-07-25,yahoo-finance-chart-api
IEUR,USD,NYSEArca,ETF,2014-06-12,2026-08-11,3059,2026-07-25,yahoo-finance-chart-api
IGLA.L,USD,LSE,ETF,2017-10-19,2026-08-11,2225,2026-07-25,yahoo-finance-chart-api
IJH,USD,NYSEArca,ETF,2000-05-26,2026-08-11,6590,2026-07-25,yahoo-finance-chart-api
IJR,USD,NYSEArca,ETF,2000-05-26,2026-08-11,6590,2026-07-25,yahoo-finance-chart-api
IJT,USD,NasdaqGM,ETF,2000-07-28,2026-08-11,6547,2026-07-25,yahoo-finance-chart-api
IOO,USD,NYSEArca,ETF,2000-12-08,2026-08-11,6454,2026-07-25,yahoo-finance-chart-api
IWM,USD,NYSEArca,ETF,2000-05-26,2026-08-11,6590,2026-07-25,yahoo-finance-chart-api
IWR,USD,NYSEArca,ETF,2001-08-27,2026-08-11,6275,2026-07-25,yahoo-finance-chart-api
LTPZ,USD,NYSEArca,ETF,2009-09-08,2026-08-11,4257,2026-07-25,yahoo-finance-chart-api
MBB,USD,NasdaqGM,ETF,2007-03-16,2026-08-11,4882,2026-07-25,yahoo-finance-chart-api
MEUD.MI,EUR,Milan,ETF,2024-02-19,2026-08-11,623,2026-07-25,yahoo-finance-chart-api
MGC,USD,NYSEArca,ETF,2007-12-27,2026-08-11,4684,2026-07-25,yahoo-finance-chart-api
MGK,USD,NYSEArca,ETF,2007-12-27,2026-08-11,4684,2026-07-25,yahoo-finance-chart-api
MGV,USD,NYSEArca,ETF,2007-12-27,2026-08-11,4684,2026-07-25,yahoo-finance-chart-api
MTUM,USD,Cboe US,ETF,2013-04-18,2026-08-11,3349,2026-07-25,yahoo-finance-chart-api
OEF,USD,NYSEArca,ETF,2000-10-27,2026-08-11,6483,2026-07-25,yahoo-finance-chart-api
PBDC,USD,NYSEArca,ETF,2022-09-30,2026-08-11,968,2026-07-25,yahoo-finance-chart-api
PDBC,USD,NasdaqGM,ETF,2014-11-07,2026-08-11,2955,2026-07-25,yahoo-finance-chart-api
